GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
2005;April;5004983;1045;4737685;1225;8562133;1952;2396479;1525
2005;Mai;5109761;1124;4582562;1229;8871706;2104;2112474;1374
2005;Juni;4909531;1055;5152383;1370;8642338;2019;2011798;1341
2005;Juli;4824912;1034;4677042;1272;8472033;1968;2042184;1312
2005;August;5049324;1089;4490610;1254;8943921;2119;1997717;1259
2005;September;4881028;1027;5036199;1313;8947893;2147;2142271;1400
2005;Oktober;4694141;908;4455151;1099;8392521;1881;1751912;1152
2005;November;4579172;821;3887952;906;7695939;1576;1232507;821
2005;Dezember;4332312;775;3883468;914;8140868;1592;1228512;779
2006;Januar;3991210;722;4066252;978;8141937;1714;1607171;989
2006;Februar;3313200;539;3765065;858;7912553;1616;1523587;858
2006;März;4780042;921;5090957;1337;9984521;2336;2215344;1374
2006;April;4428226;843;4663232;1190;8805175;2032;2141124;1344
2006;Mai;5592450;1158;5251605;1378;9267685;2154;2305478;1480
2006;Juni;5163197;1061;4939324;1268;9013659;2001;1999074;1315
2006;Juli;5104797;1059;4402555;1158;8603168;1922;2134436;1346
2006;August;5138799;1060;4676169;1258;9040424;1980;2059712;1291
2006;September;4714264;975;4855036;1222;9562133;2162;2053987;1291
2006;Oktober;5166572;1039;5017064;1244;9734691;2223;1976258;1259
2006;November;5226334;991;4755579;1164;8574710;1875;1896258;1189
2006;Dezember;4538575;861;4274604;1074;8242540;1739;1770871;1116
2007;Januar;4587385;891;4712794;1192;9153776;1936;2064474;1299
2007;Februar;4351261;876;4695202;1184;8478020;1821;1879493;1218
2007;März;4968462;969;5293751;1345;8912524;1879;1881897;1212
2007;April;4655533;934;4985051;1224;8720695;1914;1884635;1150
2007;Mai;5072145;1031;5367719;1367;9020057;1944;1828764;1165
2007;Juni;4927196;1005;5402345;1424;8864623;1967;2037825;1332
2007;Juli;5300458;1102;4970691;1316;9308557;2072;2285967;1430
2007;August;5189188;1065;4964304;1368;9189536;2042;1841346;1156
2007;September;4970610;972;4798317;1214;8579292;1815;1751527;1103
2007;Oktober;5199563;1041;5100844;1267;9317494;2031;1807839;1139
2007;November;5220137;998;5054922;1291;9125230;1940;1763013;1111
2007;Dezember;4711110;915;4150598;1077;8752534;1803;1867130;1164
2008;Januar;4819078;978;5012235;1263;9451801;1995;1883129;1171
2008;Februar;4698296;948;4908128;1218;8681678;1908;1820112;1133
2008;März;4966471;1007;5153299;1334;8835891;1939;1846053;1145
2008;April;5346285;1042;5383011;1333;9126628;1958;1827337;1122
2008;Mai;5010631;1044;5076287;1299;8830311;1960;1870844;1161
2008;Juni;4857866;1010;4968969;1238;8934248;1910;1760083;1125
2008;Juli;4806434;1021;4805810;1266;9063116;1984;2291768;1414
2008;August;4735254;1011;4423358;1170;8911506;1954;2072534;1283
2008;September;4569252;912;4850815;1198;9286365;2083;1878621;1177
2008;Oktober;4763431;901;5008679;1255;9661845;2075;1970076;1225
2008;November;4681420;937;4514093;1153;8908966;2032;1856463;1164
