GENESIS-Tabelle: 46131-0004
Beförderte Güter, Beförderungsleistung;;;;;;;;;;;
(Eisenbahngüterverkehr): Deutschland, Monate,;;;;;;;;;;;
Hauptverkehrsbeziehungen;;;;;;;;;;;
Güterverkehrsstatistik der Eisenbahn;;;;;;;;;;;
Deutschland;;;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr;Insgesamt;Insgesamt
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;tkm;t;tkm;t;tkm;t;tkm;t;tkm
2019;Januar;19347481;5033507680;3962369;1912145575;4848360;2123451960;1154513;714588197;29312723;9783693412
2019;Februar;18721059;4982623010;3874037;1853633332;4712992;2077457942;1115418;742708843;28423506;9656423127
2019;März;19843045;5187009085;4328922;2077491429;5087996;2218440494;1277380;807295765;30537343;10290236773
2019;April;19026342;4876396139;3765143;1805403647;4649654;1965612234;1182804;755163698;28623943;9402575718
2019;Mai;19305139;5065938124;4069411;1923447498;4894512;2090851127;1249890;825793075;29518952;9906029824
2019;Juni;17745152;4516203027;3696913;1798111324;4434508;1901768936;1226566;772868343;27103139;8988951630
2019;Juli;19506409;5017648952;4020640;1944229132;4728146;1972172368;1343684;856639513;29598879;9790689965
2019;August;18763220;4721049572;3532725;1689931779;4223549;1825522089;987198;642755299;27506692;8879258739
2019;September;18365259;4734591932;3800836;1864246452;4478656;1972978357;1180770;741959717;27825521;9313776458
2019;Oktober;19955092;5059702088;4109331;1949692582;4838287;2126618130;1321757;839702719;30224467;9975715519
2019;November;17871053;4640407426;3815297;1814816095;4409846;1917377495;1394479;879643544;27490675;9252244560
2019;Dezember;16573505;4085937263;2937025;1428272828;3781426;1667907206;1100083;692475814;24392039;7874593111
2020;Januar;18346522;4723125595;3768430;1806996490;4333201;1828350095;1645293;986108776;28093446;9344580956
2020;Februar;17456099;4502898890;3901612;1832401495;4449600;1918829363;1635118;1019696380;27442429;9273826128
2020;März;...;...;...;...;...;...;...;...;...;...
2020;April;...;...;...;...;...;...;...;...;...;...
2020;Mai;...;...;...;...;...;...;...;...;...;...
2020;Juni;...;...;...;...;...;...;...;...;...;...
2020;Juli;...;...;...;...;...;...;...;...;...;...
2020;August;...;...;...;...;...;...;...;...;...;...
2020;September;...;...;...;...;...;...;...;...;...;...
2020;Oktober;...;...;...;...;...;...;...;...;...;...
2020;November;...;...;...;...;...;...;...;...;...;...
2020;Dezember;...;...;...;...;...;...;...;...;...;...
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 19.06.2020 / 12:18:53
