date,BenzinFuelSale_InTsdTonnes,BenzinFuelSale_CO2inTonnes,DieselFuelSale_InTsdTonnes,DieselFuelSale_CO2inTonnes
2008-04,1686.0,5215346961.599999,2388.0038119440915,7533544279.7134695
2008-05,1783.0,5515399544.799999,2223.0012706480306,7013003255.0711565
2008-06,1704.0,5271026822.4,2243.853240152478,7078785912.03145
2008-07,1798.0,5561799428.799999,2434.240787801779,7679410171.234117
2008-08,1664.0,5147293798.4,2240.2268106734437,7067345449.951398
2008-09,1780.0,5506119568.0,2406.135959339263,7590746590.113722
2008-10,1824.0,5642225894.4,2453.279542566709,7739472597.154385
2008-11,1659.0,5131827170.4,2320.914866581957,7321895731.232529
2008-12,1711.0,5292680101.599999,2130.527318932656,6721271472.0298605
2009-01,1415.0,4377055724.0,1996.4242953193689,6298210561.749451
2009-02,1501.0,4643081725.599999,2034.4341867080423,6418122095.563355
2009-03,1716.0,5308146729.599999,2351.183281613654,7417384877.345907
2009-04,1750.0,5413319800.0,2399.1481445565037,7568701812.87298
2009-05,1737.0,5373106567.2,2289.6434574605637,7223242394.028154
2009-06,1777.0,5496839591.2,2306.8384083268684,7277488087.89635
2009-07,1751.0,5416413125.599999,2508.6528316524436,7914161231.717805
2009-08,1754.0,5425693102.4,2391.9081652443756,7545861520.717951
2009-09,1749.0,5410226474.4,2574.7176428756143,8122578897.63245
2009-10,1678.0,5190600356.799999,2486.027896302043,7842785318.733337
2009-11,1697.0,5249373543.2,2431.7280514610807,7671483127.570612
2009-12,1652.0,5110173891.2,2224.4836436514092,7017679764.632886
2010-01,1394.0,4312095886.4,1896.4751929780878,5982896580.909254
2010-02,1358.0,4200736164.7999997,1991.0715575199204,6281324036.26396
2010-03,1717.0,5311240055.2,2569.5647099103585,8106322705.548509
2010-04,1661.0,5138013821.599999,2447.68093251992,7721810407.303022
2010-05,1753.0,5422599776.799999,2414.0264566733067,7615639101.071059
2010-06,1675.0,5181320380.0,2505.894079930279,7905458072.136687
2010-07,1782.0,5512306219.2,2644.1503050298807,8341621276.116643
2010-08,1717.0,5311240055.2,2524.085688496016,7962847967.397208
2010-09,1728.0,5345266636.799999,2661.432333167331,8396141676.614138
2010-10,1724.0,5332893334.4,2671.437717878486,8427706119.007423
2010-11,1623.0,5020467448.799999,2665.0706548804783,8407619655.666243
2010-12,1483.0,4587401864.799999,2231.2007905876494,7038870653.702828
2011-01,1519.0,4698761586.4,2102.362213323626,6632417731.852749
2011-02,1427.0,4414175631.2,2222.4452129595925,7011249034.580817
2011-03,1625.0,5026654100.0,2569.0484164543136,8104693931.0913725
2011-04,1618.0,5005000820.799999,2412.5766290498727,7611065263.900255
2011-05,1789.0,5533959498.4,2653.6523480160176,8371597803.467965
2011-06,1620.0,5011187472.0,2357.0837277029486,7435999283.094103
2011-07,1618.0,5005000820.799999,2517.1943938842373,7941107686.731525
2011-08,1765.0,5459719684.0,2762.8187113214417,8715989896.857119
2011-09,1679.0,5193693682.4,2692.7702948671276,8495004970.265744
2011-10,1728.0,5345266636.799999,2595.430287586458,8187922020.327084
2011-11,1663.0,5144200472.799999,2690.950855478704,8489265102.042592
2011-12,1548.0,4788468028.799999,2410.757189661449,7605325395.677102
2012-01,1489.0,4605961818.4,2228.815161232852,7031344600.231113
2012-02,1449.0,4482228794.4,2296.493586317477,7244852807.213922
2012-03,1598.0,4943134308.799999,2697.9912702654547,8511475818.909226
2012-04,1550.0,4794654680.0,2505.9308747550326,7905574150.444504
2012-05,1583.0000000000002,4896734424.8,2644.9460181721,8344131548.571351
2012-06,1561.9999999999998,4831774587.199999,2570.8655799037947,8110426619.306388
2012-07,1580.0,4887454448.0,2717.1973098164967,8572065985.7557
2012-08,1623.0000000000002,5020467448.799999,2803.1672011402097,8843279113.54467
2012-09,1495.0,4624521772.0,2621.167112061286,8269115151.523336
2012-10,1615.0,4995720844.0,2781.217441653305,8774033208.577276
2012-11,1511.9999999999998,4677108307.199999,2708.0515766969534,8543213525.352618
2012-12,1430.0,4423455608.0,2226.986014608943,7025574108.150497
2013-01,1382.0,4274975979.2,2300.844316877153,7258578254.868772
2013-02,1321.0,4086283117.6,2273.420665901263,7172063615.359013
2013-03,1488.0000000000002,4602868492.8,2525.718254879449,7967998298.848795
2013-04,1578.0,4881267796.799999,2783.5005740528127,8781235910.240528
2013-05,1593.0000000000002,4927667680.8,2636.3269804822044,8316940678.204822
2013-06,1571.9999999999998,4862707843.199999,2643.6399540757748,8340011248.740757
2013-07,1651.0,5107080565.599999,2900.5081515499423,9150365038.815498
2013-08,1636.9999999999998,5063774007.199999,2812.752468427095,8873518192.384272
2013-09,1604.0,4961694262.4,2783.5005740528127,8781235910.240528
2013-10,1636.9999999999998,5063774007.199999,3002.889781859931,9473353026.3186
2013-11,1480.0,4578121888.0,2790.8135476463835,8804306480.776464
2013-12,1480.9999999999998,4581215213.599998,2394.084730195178,7552728029.201953
2014-01,1428.0000000000002,4417268956.8,2461.2740326523735,7764693178.776928
2014-02,1365.9999999999998,4225482769.5999985,2399.0790738190913,7568483912.274945
2014-03,1550.0,4794654680.0,2760.3586141006554,8708228916.22028
2014-04,1534.0,4745161470.4,2710.9684997330487,8552415675.174586
2014-05,1601.0,4952414285.599999,2764.017141090848,8719770637.779219
2014-06,1549.0000000000002,4791561354.400001,2620.4199567257706,8266758066.59082
2014-07,1671.0,5168947077.599999,2835.3584173996123,8944834208.178549
2014-08,1595.0,4933854332.0,2763.1025093433,8716885207.389482
2014-09,1559.0000000000002,4822494610.400001,2902.1265349706355,9155470626.629206
2014-10,1676.0,5184413705.599999,3039.3212971028747,9588285185.089457
2014-11,1493.0,4618335120.799999,2753.041560120269,8685145473.102398
2014-12,1505.0,4655455028.0,2539.9323629415235,8012840192.294139
2015-01,1354.0,4188362862.3999996,2406.79684949396,7592831530.3552475
2015-02,1281.9999999999998,3965643419.199999,2388.473310479921,7535025428.106634
2015-03,1535.0,4748254796.0,2823.6573620633367,8907920356.51118
2015-04,1529.0000000000002,4729694842.400001,2772.351452824029,8746063270.215069
2015-05,1571.0,4859614517.599999,2679.817580803134,8454142453.859573
2015-06,1548.0,4788468028.799999,2855.7235553379037,9009081035.446253
2015-07,1646.9999999999998,5094707263.199999,3153.4810643160295,9948430196.986204
2015-08,1622.0,5017374123.2,2885.0412177603653,9101570799.044033
2015-09,1523.0000000000002,4711134888.8,2937.2633039503758,9266318190.45258
2015-10,1623.0000000000002,5020467448.799999,3048.1207149853085,9616045109.056684
2015-11,1466.0,4534815329.599999,3026.1324681684623,9546677786.358349
2015-12,1527.0,4723508191.2,2697.224942866471,8509058250.995755
2016-01,1345.0,4160522931.9999995,2451.180707633044,7732851307.092161
2016-02,1396.0,4318282537.599999,2605.75143136065,8220482602.203568
2016-03,1507.0,4661641679.2,2896.6004854753173,9138037346.851072
2016-04,1527.0,4723508191.2,2983.489353842907,9412149613.333818
2016-05,1571.0,4859614517.599999,2827.089390781246,8918747533.664877
2016-06,1548.0,4788468028.799999,2942.33146882668,9282306960.78936
2016-07,1605.9999999999998,4967880913.599998,3054.8296878710325,9637210211.077543
2016-08,1591.0,4921481029.599999,2994.4647898472335,9446774320.679005
2016-09,1581.0,4890547773.599999,3111.536107226722,9816104532.36102
2016-10,1536.0,4751348121.599999,2983.489353842907,9412149613.333818
2016-11,1529.0000000000002,4729694842.400001,3049.3419698688685,9619897857.40495
2016-12,1501.0,4643081725.599999,2764.8952534233927,8722540858.708809
2017-01,1416.9999999999998,4383242375.199999,2701.7864963985116,8523448791.473971
2017-02,1341.9999999999998,4151242955.1999984,2562.764307010369,8084869165.101581
2017-03,1619.0,5008094146.4,3170.0717659164666,10000769638.202026
2017-04,1494.0,4621428446.4,2877.3934724677456,9077444108.996994
2017-05,1611.0,4983347541.599999,3060.317405873196,9654522564.75014
2017-06,1585.9999999999998,4906014401.599998,3033.7934355294055,9570846188.665932
2017-07,1584.0,4899827750.4,3018.2449011899425,9521794519.926916
2017-08,1615.9999999999998,4998814169.599998,3117.023825228886,9833416886.033613
2017-09,1535.0,4748254796.0,2985.3185931769613,9417920397.89135
2017-10,1537.0,4754441447.2,3024.6472388591333,9541992265.878277
2017-11,1530.0,4732788168.0,3064.890504208333,9668949526.143969
2017-12,1425.0,4407988980.0,2781.3584074298838,8774477919.726591
2018-01,1369.0,4234762746.3999996,2552.70349067307,8053129850.035159
2018-02,1318.0,4077003140.7999997,2584.7151790190233,8154118579.791958
2018-03,1480.0,4578121888.0,2852.6987414580094,8999538517.470318
2018-04,1469.0,4544095306.4,2911.234400147754,9184203623.311327
2018-05,1563.0000000000002,4834867912.8,2883.795810136936,9097641854.948353
2018-06,1601.0,4952414285.599999,2903.9174428115357,9161120485.0812
2018-07,1563.0000000000002,4834867912.8,3019.1595208569697,9524679912.20568
2018-08,1597.0,4940040983.2,3039.281153531569,9588158542.338526
2018-09,1462.0,4522442027.2,2881.966570802882,9091871070.390823
2018-10,1504.0,4652361702.4,3044.768871533732,9605470896.01112
2018-11,1492.0,4615241795.2,3030.134956861297,9559304619.550869
2018-12,1418.0000000000002,4386335700.8,2570.0812643465874,8107952303.331707
