GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Januar;Januar;Februar;Februar;März;März;April;April;Mai;Mai;Juni;Juni;Juli;Juli;August;August;September;September;Oktober;Oktober;November;November;Dezember;Dezember
;;;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen;Starts;Landungen
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2015;F-FRA;Frankfurt/Main;17117;17009;16239;16234;18272;18266;19649;19668;21007;21013;20787;20794;21576;21592;21172;21237;20637;20641;20914;20987;16393;16414;16669;16770
2015;F-FDH;Friedrichshafen;371;365;341;344;413;411;417;423;442;442;479;479;505;504;488;491;490;489;511;514;249;251;192;195
2015;F-HHN;Hahn;654;648;604;602;680;669;868;861;888;881;867;851;919;909;942;935;899;901;936;935;684;683;644;638
2015;F-HAM;Hamburg;5062;5056;4910;4924;5897;5888;6066;6066;6422;6423;6506;6504;6580;6535;6357;6347;6587;6588;6647;6630;5460;5485;5087;5042
2015;F-HAJ;Hannover;1973;1973;2131;2144;2966;2958;2703;2711;3014;3009;3306;3300;3237;3240;3246;3257;3327;3350;3089;3101;2610;2636;2275;2283
2015;F-FKB;Karlsruhe;430;429;527;519;649;637;753;740;857;831;838;838;846;837;825;833;877;883;797;791;519;529;512;514
2015;F-CGN;Köln/Bonn;3765;3796;3581;3583;4350;4291;4570;4599;5003;5020;5228;5216;5408;5384;5178;5218;5503;5516;5556;5598;4634;4656;4623;4577
2015;F-LEJ;Leipzig/Halle;2264;2255;2189;2177;2455;2409;2327;2306;2562;2523;2657;2616;2690;2682;2568;2543;2708;2669;2779;2773;2424;2382;2436;2401
2015;F-LBC;Lübeck;142;142;221;221;301;301;253;253;318;318;383;383;360;360;340;340;322;322;305;305;198;198;151;151
2015;F-FMM;Memmingen;269;270;202;202;451;452;450;447;451;450;479;491;496;498;511;510;509;516;566;568;363;363;315;316
2015;F-MUC;München;13581;13488;13653;13607;15331;15309;15438;15409;16343;16330;16490;16477;16824;16806;15942;15909;16783;16796;16885;16883;14468;14459;13474;13534
2015;F-FMO;Münster/Osnabrück;372;374;378;390;496;497;534;547;594;596;635;630;669;687;618;636;532;578;668;737;462;496;384;387
2015;F-NRN;Niederrhein;411;406;364;368;446;450;636;640;682;685;670;669;683;681;640;648;669;670;681;679;370;366;339;338
2015;F-NUE;Nürnberg;1410;1429;1411;1439;1723;1763;1661;1668;1774;1772;1889;1908;1925;1958;1926;1925;2001;2038;1856;1903;1559;1589;1403;1420
2015;F-PAD;Paderborn/Lippstadt;218;222;220;230;301;298;300;303;402;401;430;424;412;408;717;737;744;756;696;702;563;574;403;406
2015;F-RLG;Rostock-Laage;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;F-SCN;Saarbrücken;284;286;287;288;365;363;388;386;445;448;552;542;476;476;487;483;456;460;466;462;449;302;318;318
2015;F-STR;Stuttgart;3571;3550;3757;3701;4638;4565;5008;4971;5531;5441;5711;5684;6040;5975;5780;5697;5792;5780;5498;5451;4364;4350;4146;4102
2015;F-GWT;Sylt-Westerland;61;57;60;60;98;101;225;226;413;413;365;366;453;457;590;587;416;417;220;219;73;71;75;78
2015;F-ZQW;Zweibrücken;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;;Insgesamt;70425;70304;69259;69222;81361;81144;84351;84407;91094;90958;92830;92701;94408;94219;92010;92074;94047;94219;93775;94115;77189;77239;73288;73328
2016;F-SXF;Berlin-Schönefeld;3040;3020;3121;3133;3430;3430;3709;3724;3973;3962;3830;3826;3762;3746;3702;3733;4266;4250;4274;4296;3809;3820;3819;3817
2016;F-TXL;Berlin-Tegel;6482;6479;6706;6702;7423;7416;7625;7642;7872;7857;8039;8036;8048;8035;7844;7838;8124;8120;7940;7958;7204;7215;6896;6877
2016;F-BRE;Bremen;1094;1102;1107;1107;1289;1291;1423;1422;1563;1554;1517;1508;1540;1543;1427;1426;1560;1556;1508;1542;1145;1148;991;988
2016;F-DTM;Dortmund;618;620;603;607;769;767;779;788;866;868;860;861;892;889;927;934;872;874;851;861;710;718;690;693
2016;F-DRS;Dresden;752;752;754;761;822;823;843;844;968;968;1053;1060;969;971;972;969;1054;1050;981;993;869;872;815;815
2016;F-DUS;Düsseldorf;7021;7067;7124;7145;7898;7912;8426;8454;9480;9459;9743;9739;9960;9923;9909;9956;10063;10063;9972;10030;8342;8370;7734;7720
2016;F-ERF;Erfurt;151;155;164;167;264;271;292;293;377;369;256;253;386;391;341;334;392;388;295;304;218;208;181;182
2016;F-FRA;Frankfurt/Main;16940;16842;16800;16800;18482;18466;19247;19249;20312;20342;20308;20311;21009;21012;20665;20679;20688;20737;20631;20722;16476;16533;16688;16779
2016;F-FDH;Friedrichshafen;252;257;293;297;367;369;362;358;398;402;386;385;292;295;273;271;271;271;266;271;286;284;251;256
2016;F-HHN;Hahn;667;663;625;619;708;709;873;878;844;845;838;837;912;915;885;877;834;843;941;950;613;610;626;629
2016;F-HAM;Hamburg;4906;4920;5133;5099;5753;5727;6084;6075;6431;6396;6603;6586;6695;6641;6615;6610;6754;6758;6621;6677;5676;5654;5439;5407
2016;F-HAJ;Hannover;2188;2194;2325;2329;2846;2841;2926;2924;3339;3340;3198;3199;3292;3299;3380;3378;3306;3309;3028;3124;2211;2226;2147;2131
2016;F-FKB;Karlsruhe;466;459;512;508;716;714;765;756;850;840;823;819;1050;1049;968;944;881;880;833;830;732;750;559;553
