GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;September;21825;44207;12598;467182;61456;969445
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Oktober;2960;22105;17860;392037;45735;1033796
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;November;713;17411;16391;291486;44805;812888
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2017;Dezember;2684;12604;11848;415849;58461;1029749
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Januar;9712;27207;15263;588326;51849;879839
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Februar;3968;17953;10853;738479;38603;907765
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;März;6690;59479;17238;677277;46890;906929
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;April;16537;13309;12885;633317;46820;894539
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Mai;8500;47241;16720;609164;44066;1035241
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Juni;7160;49805;10763;555409;42416;894690
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Juli;7124;24391;14682;424504;43654;753660
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;August;9197;16758;9730;336854;40502;902604
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;September;11385;11221;23349;171718;46975;980182
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Oktober;12070;8486;23289;287224;32329;1070250
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;November;8362;14063;16535;308265;39705;1117048
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2018;Dezember;19488;22448;14646;348811;43684;1077771
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Januar;13167;28428;16875;469026;26962;1202511
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Februar;20358;19345;7598;589898;51198;851777
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;März;17014;15977;7923;499035;41363;1013745
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;April;3020;25522;7821;652528;36716;905189
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Mai;22988;18793;7185;371763;27509;834821
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Juni;28319;20079;5891;576032;38904;657025
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Juli;15775;27022;9514;340421;16840;838389
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;August;18391;27985;11018;555105;51351;767876
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;September;7603;38288;16641;287910;33763;785767
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Oktober;20173;27374;8811;409186;36454;888265
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;November;16192;31324;5762;523942;32745;758032
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2019;Dezember;14486;17847;12768;493750;46257;806038
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Januar;12943;33248;9839;647689;30021;847783
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Februar;16806;62775;4201;974165;47832;665330
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;März;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;April;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Mai;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Juni;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Juli;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;August;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;September;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Oktober;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;November;...;...;...;...;...;...
NST7-01;Erzeugn. der Land- und Forstwirtschaft, Fischerei;2020;Dezember;...;...;...;...;...;...
NST7-02;Kohle, rohes Erdöl und Erdgas;2011;Januar;3484;29669;12;55732;124;3286106
