buisnesstype,date,Originalwerte
"Hotels, Gasthöfe und Pensionen",2008-02,"87,1"
"Hotels, Gasthöfe und Pensionen",2008-03,"90,2"
"Hotels, Gasthöfe und Pensionen",2008-04,"101,5"
"Hotels, Gasthöfe und Pensionen",2008-05,"117,3"
"Hotels, Gasthöfe und Pensionen",2008-06,112
"Hotels, Gasthöfe und Pensionen",2008-07,108
"Hotels, Gasthöfe und Pensionen",2008-08,"109,9"
"Hotels, Gasthöfe und Pensionen",2008-09,"122,6"
"Hotels, Gasthöfe und Pensionen",2008-10,115
"Hotels, Gasthöfe und Pensionen",2008-11,"92,8"
"Hotels, Gasthöfe und Pensionen",2008-12,"93,2"
"Hotels, Gasthöfe und Pensionen",2009-01,"70,6"
"Hotels, Gasthöfe und Pensionen",2009-02,"74,5"
"Hotels, Gasthöfe und Pensionen",2009-03,"84,5"
"Hotels, Gasthöfe und Pensionen",2009-04,"86,3"
"Hotels, Gasthöfe und Pensionen",2009-05,"104,7"
"Hotels, Gasthöfe und Pensionen",2009-06,100
"Hotels, Gasthöfe und Pensionen",2009-07,101
"Hotels, Gasthöfe und Pensionen",2009-08,"103,8"
"Hotels, Gasthöfe und Pensionen",2009-09,"112,3"
"Hotels, Gasthöfe und Pensionen",2009-10,105
"Hotels, Gasthöfe und Pensionen",2009-11,"86,6"
"Hotels, Gasthöfe und Pensionen",2009-12,"89,9"
"Hotels, Gasthöfe und Pensionen",2010-01,"68,9"
"Hotels, Gasthöfe und Pensionen",2010-02,"73,7"
"Hotels, Gasthöfe und Pensionen",2010-03,"83,1"
"Hotels, Gasthöfe und Pensionen",2010-04,"90,5"
"Hotels, Gasthöfe und Pensionen",2010-05,"100,6"
"Hotels, Gasthöfe und Pensionen",2010-06,102
"Hotels, Gasthöfe und Pensionen",2010-07,"102,6"
"Hotels, Gasthöfe und Pensionen",2010-08,"102,3"
"Hotels, Gasthöfe und Pensionen",2010-09,"116,9"
