GENESIS-Tabelle: 45212-0004
Umsatz im Einzelhandel (real/nominal) (Messzahlen und;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;
Wirtschaftszweige;;;;;
Monatsstatistik im Einzelhandel;;;;;
Deutschland;;;;;
;;;;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%)
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;August;88,1;-4,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;September;92,7;+1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Oktober;99,5;-0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;November;96,9;-3,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2003;Dezember;113,9;+0,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Januar;87,3;+1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Februar;83,0;+2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;März;97,9;+6,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;April;97,6;+2,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Mai;90,7;-4,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Juni;92,5;+6,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Juli;95,7;+2,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;August;89,6;+1,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;September;94,0;+1,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Oktober;98,4;-1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;November;101,6;+4,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2004;Dezember;116,5;+2,3
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Januar;87,7;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Februar;83,9;+1,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;März;98,3;+0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;April;97,8;+0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Mai;94,3;+4,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Juni;94,9;+2,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Juli;94,0;-1,8
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;August;94,5;+5,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;September;95,5;+1,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Oktober;98,3;-0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;November;102,2;+0,6
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2005;Dezember;117,1;+0,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Januar;89,4;+1,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Februar;84,2;+0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;März;98,4;+0,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;April;95,5;-2,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Mai;98,0;+3,9
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Juni;94,2;-0,7
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Juli;93,6;-0,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;August;95,4;+1,0
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;September;94,4;-1,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Oktober;98,1;-0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;November;102,0;-0,2
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2006;Dezember;118,7;+1,4
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Januar;88,1;-1,5
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;Februar;84,2;-
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;März;100,5;+2,1
WZ08-47;Einzelhandel (ohne Handel mit Kraftfahrzeugen);2007;April;95,7;+0,2
