GENESIS-Tabelle: 45213-0004;;;;;;;
Umsatz im Gastgewerbe (real/nominal) (Messzahlen und;;;;;;;
Veränderungsraten): Deutschland, Monate/Quartale/Halbjahre,;;;;;;;
Wirtschaftszweige;;;;;;;
Monatsstatistik im Gastgewerbe;;;;;;;
Deutschland;;;;;;;
;;;;Preisarten;Preisarten;Preisarten;Preisarten
;;;;in konstanten Preisen;in konstanten Preisen;in jeweiligen Preisen;in jeweiligen Preisen
;;;;Umsatz;Veränderung zur Vorjahresperiode;Umsatz;Veränderung zur Vorjahresperiode
;;;;2015=100;in (%);2015=100;in (%)
WZ08-55;Beherbergung;2017;November;94,1;1;98,2;2,9
WZ08-55;Beherbergung;2017;Dezember;96,1;3,8;100,1;6,3
WZ08-55;Beherbergung;2018;Januar;80,8;3,1;83,8;5,4
WZ08-55;Beherbergung;2018;Februar;81,6;3,2;85;5,2
WZ08-55;Beherbergung;2018;März;94,3;-2;98,7;0,3
WZ08-55;Beherbergung;2018;April;102,4;5,5;107,8;8,5
WZ08-55;Beherbergung;2018;Mai;109,2;-5,9;115,6;-3,8
WZ08-55;Beherbergung;2018;Juni;115,5;3,7;123,6;6,6
WZ08-55;Beherbergung;2018;Juli;116,5;0,7;123,9;2,6
WZ08-55;Beherbergung;2018;August;116;3,4;123;5,5
WZ08-55;Beherbergung;2018;September;127,1;2,2;137,4;4,5
WZ08-55;Beherbergung;2018;Oktober;115,9;1,1;124,5;3,5
WZ08-55;Beherbergung;2018;November;97,3;3,4;103,8;5,7
WZ08-55;Beherbergung;2018;Dezember;96;-0,1;101,6;1,5
WZ08-55;Beherbergung;2019;Januar;82,1;1,6;86,5;3,2
WZ08-55;Beherbergung;2019;Februar;83,9;2,8;88,9;4,6
WZ08-55;Beherbergung;2019;März;97,7;3,6;103,5;4,9
WZ08-55;Beherbergung;2019;April;101,3;-1,1;108,5;0,6
WZ08-55;Beherbergung;2019;Mai;112,1;2,7;122,5;6
WZ08-55;Beherbergung;2019;Juni;115,7;0,2;126,4;2,3
WZ08-55;Beherbergung;2019;Juli;115,5;-0,9;125,2;1
WZ08-55;Beherbergung;2019;August;115,1;-0,8;124,4;1,1
WZ08-55;Beherbergung;2019;September;123,2;-3,1;135,8;-1,2
WZ08-55;Beherbergung;2019;Oktober;117;0,9;128,4;3,1
WZ08-55;Beherbergung;2019;November;100,1;2,9;108,9;4,9
WZ08-55;Beherbergung;2019;Dezember;96,1;0,1;103,9;2,3
WZ08-55;Beherbergung;2020;Januar;80,8;-1,6;87,4;1
WZ08-55;Beherbergung;2020;Februar;84,5;0,7;91,3;2,7
WZ08-55;Beherbergung;2020;März;48,2;-50,7;51,9;-49,9
WZ08-55;Beherbergung;2020;April;11,5;-88,6;12,4;-88,6
WZ08-55;Beherbergung;2020;Mai;...;...;...;...
WZ08-55;Beherbergung;2020;Juni;...;...;...;...
WZ08-55;Beherbergung;2020;Juli;...;...;...;...
WZ08-55;Beherbergung;2020;August;...;...;...;...
WZ08-55;Beherbergung;2020;September;...;...;...;...
WZ08-55;Beherbergung;2020;Oktober;...;...;...;...
WZ08-55;Beherbergung;2020;November;...;...;...;...
WZ08-55;Beherbergung;2020;Dezember;...;...;...;...
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Januar;91,9;.;61,5;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Februar;97,2;.;65,2;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;März;110,6;.;74,2;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;April;115,9;.;78,1;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Mai;136,8;.;92,3;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Juni;132,8;.;90,4;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Juli;126,4;.;86,1;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;August;132,2;.;90,2;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;September;155,6;.;106;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Oktober;146,6;.;99,9;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;November;108;.;73,6;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1994;Dezember;112,1;.;76,4;.
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Januar;91,6;-0,3;62,6;1,8
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Februar;96,8;-0,4;66,9;2,6
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;März;112,5;1,7;77,3;4,2
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;April;112,7;-2,8;79,3;1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Mai;140,4;2,6;98,5;6,7
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Juni;128;-3,6;91;0,7
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Juli;118,2;-6,5;87,3;1,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;August;121,9;-7,8;89,8;-0,4
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;September;142,6;-8,4;100,9;-4,8
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;Oktober;139,3;-5;98,4;-1,5
WZ08-551;Hotels, Gasthöfe und Pensionen;1995;November;106,7;-1,2;72,6;-1,4
