Time,Date,weekday,week,traffic_congestion_hamburg,traffic_diffRatio_to2019_hamburg,traffic_congestion_berlin,traffic_diffRatio_to2019_berlin,traffic_congestion_wiesbaden,traffic_diffRatio_to2019_wiesbaden,traffic_congestion_munich,traffic_diffRatio_to2019_munich,traffic_congestion_nuremberg,traffic_diffRatio_to2019_nuremberg,traffic_congestion_stuttgart,traffic_diffRatio_to2019_stuttgart,traffic_congestion_bonn,traffic_diffRatio_to2019_bonn,traffic_congestion_kassel,traffic_diffRatio_to2019_kassel,traffic_congestion_bremen,traffic_diffRatio_to2019_bremen,traffic_congestion_cologne,traffic_diffRatio_to2019_cologne,traffic_congestion_kiel,traffic_diffRatio_to2019_kiel,traffic_congestion_dresden,traffic_diffRatio_to2019_dresden,traffic_congestion_dusseldorf,traffic_diffRatio_to2019_dusseldorf,traffic_congestion_leipzig,traffic_diffRatio_to2019_leipzig,traffic_congestion_freiburg,traffic_diffRatio_to2019_freiburg,traffic_congestion_karlsruhe,traffic_diffRatio_to2019_karlsruhe,traffic_congestion_augsburg,traffic_diffRatio_to2019_augsburg,traffic_congestion_monchengladbach,traffic_diffRatio_to2019_monchengladbach,traffic_congestion_mannheim,traffic_diffRatio_to2019_mannheim,traffic_congestion_munster,traffic_diffRatio_to2019_munster,traffic_congestion_hannover,traffic_diffRatio_to2019_hannover,traffic_congestion_bielefeld,traffic_diffRatio_to2019_bielefeld,traffic_congestion_wuppertal,traffic_diffRatio_to2019_wuppertal,traffic_congestion_ruhr-region-west,traffic_diffRatio_to2019_ruhr-region-west,traffic_congestion_ruhr-region-east,traffic_diffRatio_to2019_ruhr-region-east
2020-02-15,2020-02,Sat,7 2020,21,-0.19230769230769232,21,-0.045454545454545456,27,0.038461538461538464,26,0.3,24,0.0,25,0.08695652173913043,18,-0.1,11,-0.26666666666666666,17,-0.19047619047619047,20,0.0,21,-0.125,20,-0.09090909090909091,18,0.0,23,0.15,25,0.041666666666666664,13,-0.2777777777777778,20,0.05263157894736842,14,-0.2631578947368421,23,0.09523809523809523,20,0.1111111111111111,24,0.3333333333333333,20,0.1111111111111111,15,0.07142857142857142,16,0.0,17,0.0
2020-02-16,2020-02,Sun,7 2020,14,-0.36363636363636365,14,-0.125,19,0.05555555555555555,13,-0.13333333333333333,9,-0.3076923076923077,14,0.0,10,-0.2857142857142857,5,-0.5454545454545454,10,-0.3333333333333333,15,0.07142857142857142,17,-0.05555555555555555,12,-0.25,10,-0.23076923076923078,12,0.0,12,-0.14285714285714285,7,-0.46153846153846156,9,-0.1,7,-0.46153846153846156,11,-0.08333333333333333,12,0.2,10,0.0,11,0.1,10,0.0,10,0.0,10,0.0
2020-02-17,2020-02,Mon,8 2020,41,0.0,36,-0.07692307692307693,38,-0.11627906976744186,38,0.02702702702702703,49,0.1951219512195122,42,0.23529411764705882,39,0.0,26,0.0,35,0.0,40,0.17647058823529413,35,-0.07894736842105263,29,-0.21621621621621623,39,0.18181818181818182,28,-0.0967741935483871,33,0.03125,32,0.18518518518518517,28,-0.06666666666666667,31,0.03333333333333333,29,-0.03333333333333333,32,0.10344827586206896,32,0.0,32,0.14285714285714285,27,0.08,36,0.125,32,0.10344827586206896
2020-02-18,2020-02,Tue,8 2020,46,0.06976744186046512,38,-0.02564102564102564,38,-0.15555555555555556,37,-0.0975609756097561,41,0.0,45,0.15384615384615385,42,-0.023255813953488372,30,0.0,37,0.0,42,0.13513513513513514,34,-0.1282051282051282,31,-0.16216216216216217,39,0.11428571428571428,29,-0.06451612903225806,33,-0.05714285714285714,27,-0.15625,30,-0.03225806451612903,32,0.06666666666666667,30,0.0,34,0.1724137931034483,36,0.09090909090909091,40,0.3793103448275862,29,0.11538461538461539,35,0.06060606060606061,32,0.06666666666666667
2020-02-19,2020-02,Wed,8 2020,46,0.09523809523809523,41,0.05128205128205128,43,-0.044444444444444446,38,-0.07317073170731707,36,-0.14285714285714285,43,0.04878048780487805,48,0.14285714285714285,24,-0.14285714285714285,60,0.6216216216216216,45,0.15384615384615385,35,-0.07894736842105263,28,-0.2,39,0.08333333333333333,30,0.0,35,-0.05405405405405406,30,-0.16666666666666666,26,-0.13333333333333333,32,0.06666666666666667,28,-0.06666666666666667,34,0.13333333333333333,37,0.12121212121212122,34,0.25925925925925924,31,0.19230769230769232,41,0.24242424242424243,32,0.10344827586206896
2020-02-20,2020-02,Thu,8 2020,46,0.06976744186046512,40,0.0,38,-0.15555555555555556,37,-0.075,36,-0.14285714285714285,45,0.125,21,-0.5,24,-0.1111111111111111,40,0.02564102564102564,22,-0.42105263157894735,39,0.05405405405405406,30,-0.14285714285714285,22,-0.37142857142857144,27,-0.1,29,-0.17142857142857143,30,-0.16666666666666666,31,0.06896551724137931,20,-0.3333333333333333,29,-0.06451612903225806,28,-0.034482758620689655,35,0.06060606060606061,31,0.10714285714285714,27,0.038461538461538464,34,0.030303030303030304,29,-0.03333333333333333
2020-02-21,2020-02,Fri,8 2020,42,0.024390243902439025,35,-0.05405405405405406,36,-0.1,39,0.14705882352941177,35,-0.07894736842105263,34,0.0,22,-0.37142857142857144,22,-0.18518518518518517,37,-0.13953488372093023,26,-0.2571428571428571,36,-0.02702702702702703,29,-0.17142857142857143,20,-0.3333333333333333,27,-0.1,29,-0.17142857142857143,23,-0.28125,26,-0.13333333333333333,21,-0.25,26,-0.10344827586206896,26,-0.07142857142857142,30,-0.03225806451612903,29,-0.03333333333333333,21,-0.125,29,-0.06451612903225806,28,-0.034482758620689655
2020-02-22,2020-02,Sat,8 2020,25,-0.038461538461538464,22,0.0,20,-0.23076923076923078,25,0.25,21,-0.125,22,-0.043478260869565216,14,-0.3,13,-0.13333333333333333,21,0.0,18,-0.1,22,-0.08333333333333333,21,-0.045454545454545456,14,-0.2222222222222222,19,-0.05,25,0.041666666666666664,14,-0.2222222222222222,17,-0.10526315789473684,20,0.05263157894736842,18,-0.14285714285714285,17,-0.05555555555555555,19,0.05555555555555555,19,0.05555555555555555,14,0.0,18,0.125,14,-0.17647058823529413
2020-02-23,2020-02,Sun,8 2020,16,-0.2727272727272727,17,0.0625,20,0.1111111111111111,12,-0.2,11,-0.15384615384615385,11,-0.21428571428571427,10,-0.2857142857142857,8,-0.2727272727272727,12,-0.2,15,0.07142857142857142,15,-0.16666666666666666,13,-0.1875,11,-0.15384615384615385,14,0.16666666666666666,10,-0.2857142857142857,4,-0.6923076923076923,8,-0.2,7,-0.46153846153846156,11,-0.08333333333333333,12,0.2,11,0.1,17,0.7,13,0.3,11,0.1,11,0.1
2020-02-24,2020-02,Mon,9 2020,49,0.1951219512195122,37,-0.05128205128205128,24,-0.4418604651162791,26,-0.2972972972972973,29,-0.2926829268292683,30,-0.11764705882352941,14,-0.6410256410256411,26,0.0,43,0.22857142857142856,14,-0.5882352941176471,36,-0.05263157894736842,37,0.0,14,-0.5757575757575758,35,0.12903225806451613,21,-0.34375,18,-0.3333333333333333,21,-0.3,15,-0.5,24,-0.2,21,-0.27586206896551724,38,0.1875,29,0.03571428571428571,18,-0.28,20,-0.375,21,-0.27586206896551724
