GENESIS-Tabelle: 43411-0001
Nettowärmeerzeugung, Brennstoffeinsatz, -bezug, -bestand:;;;;;
Deutschland, Jahre, Energieträger;;;;;
Erhebung über Erzeugung und Verwendung von Wärme;;;;;
Deutschland;;;;;
;;Nettowärmeerzeugung;Brennstoffeinsatz;Brennstoffbezug;Brennstoffbestand
2008;Sonstige Energieträger;52576;364512;0;0
2009;Steinkohlen;1356504;6484779;6610804;181037
2009;Steinkohlenkoks;.;.;.;.
2009;Steinkohlenbriketts;-;-;-;-
2009;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2009;Sonstige Steinkohlen;.;.;.;.
2009;Rohbraunkohlen;-;-;-;-
2009;Hartbraunkohlen;-;-;-;-
2009;Braunkohlenbriketts;-;-;-;-
2009;Braunkohlenkoks;-;-;-;-
2009;Wirbelschichtkohle;-;-;-;-
2009;Staub- und Trockenkohle;278540;1216441;896845;8154
2009;Sonstige Braunkohlen;-;-;-;-
2009;Dieselkraftstoff;-;-;-;-
2009;Heizöl, leicht;1323283;5622861;5291205;2687084
2009;Heizöl, schwer;.;.;.;.
2009;Flüssiggas;2403;11866;-;-
2009;Raffineriegas;-;-;-;-
2009;Petrolkoks;-;-;-;-
2009;Sonstige Mineralölprodukte;-;-;6586;5946
2009;Erdgas, Erdölgas;14506269;64703392;-;-
2009;Grubengas;113237;805160;-;-
2009;Kokereigas;.;.;-;-
2009;Hochofengas;.;.;-;-
2009;Sonstige hergestellte Gase;.;.;-;-
2009;Geothermie;.;x;x;x
2009;Solarthermie;-;x;x;x
2009;Feste biogene Stoffe;1237022;8573723;-;-
2009;Flüssige biogene Stoffe;56497;401643;-;-
2009;Biogas;68854;489193;-;-
2009;Klärgas;.;.;-;-
2009;Deponiegas;45692;264685;-;-
2009;Sonstige erneuerbare Energien;.;.;-;-
2009;Klärschlamm;.;.;-;-
2009;Abfall (Hausmüll, Industrie);1986526;11373073;-;-
2009;Abfall (Industrie);293526;1670496;-;-
2009;Abfall (Hausmüll, Siedlungsabfälle);1693000;9702577;-;-
2009;Kernenergie;x;x;x;x
2009;Wärme;-;-;-;-
2009;Sonstige Energieträger;353197;1196535;-;-
2010;Steinkohlen;1444178;6729444;6665331;98445
2010;Steinkohlenkoks;.;.;.;.
2010;Steinkohlenbriketts;-;-;-;-
2010;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2010;Sonstige Steinkohlen;.;.;.;.
2010;Rohbraunkohlen;-;-;-;-
2010;Hartbraunkohlen;-;-;-;-
2010;Braunkohlenbriketts;-;-;-;-
2010;Braunkohlenkoks;-;-;-;-
2010;Wirbelschichtkohle;-;-;-;-
2010;Staub- und Trockenkohle;311438;1304518;44338586;653872
2010;Sonstige Braunkohlen;-;-;-;-
2010;Dieselkraftstoff;-;-;-;-
2010;Heizöl, leicht;1343685;5841696;32726034;7924662
2010;Heizöl, schwer;.;.;.;.
2010;Flüssiggas;1895;8597;-;-
2010;Raffineriegas;-;-;-;-
2010;Petrolkoks;-;-;-;-
2010;Sonstige Mineralölprodukte;-;-;6102;3512
2010;Erdgas, Erdölgas;17320047;76592597;-;-
2010;Grubengas;56968;295906;-;-
2010;Kokereigas;.;.;-;-
2010;Hochofengas;.;.;-;-
2010;Sonstige hergestellte Gase;.;.;-;-
2010;Geothermie;16527;x;x;x
2010;Solarthermie;-;x;x;x
2010;Feste biogene Stoffe;1272593;8272185;-;-
2010;Flüssige biogene Stoffe;36004;271385;-;-
2010;Biogas;80648;514095;-;-
2010;Klärgas;.;.;-;-
2010;Deponiegas;33097;200156;-;-
2010;Sonstige erneuerbare Energien;.;.;-;-
2010;Klärschlamm;.;.;-;-
2010;Abfall (Hausmüll, Industrie);2333293;14598839;-;-
2010;Abfall (Industrie);314749;1649590;-;-
2010;Abfall (Hausmüll, Siedlungsabfälle);2018544;12949249;-;-
2010;Kernenergie;x;x;x;x
2010;Wärme;-;-;-;-
2010;Sonstige Energieträger;486992;1980336;-;-
2011;Steinkohlen;1275354;6015822;6128335;203465
2011;Steinkohlenkoks;26790;114066;.;.
2011;Steinkohlenbriketts;-;-;-;-
2011;Kohlenwertstoffe aus Steinkohle;-;-;-;-
2011;Sonstige Steinkohlen;.;.;.;.
2011;Rohbraunkohlen;-;-;-;-
2011;Hartbraunkohlen;-;-;-;-
2011;Braunkohlenbriketts;-;-;-;-
2011;Braunkohlenkoks;-;-;-;-
2011;Wirbelschichtkohle;-;-;-;-
2011;Staub- und Trockenkohle;367858;1564272;1684339;10023
2011;Sonstige Braunkohlen;-;-;-;-
2011;Dieselkraftstoff;-;-;-;-
2011;Heizöl, leicht;865482;3786700;4657533;2566265
2011;Heizöl, schwer;.;.;.;.
2011;Flüssiggas;18775;75794;-;-
2011;Raffineriegas;-;-;-;-
2011;Petrolkoks;-;-;-;-
2011;Sonstige Mineralölprodukte;-;-;81175;8830
2011;Erdgas, Erdölgas;14004085;62251985;-;-
2011;Grubengas;524791;2274152;-;-
2011;Kokereigas;-;-;-;-
2011;Hochofengas;-;-;-;-
2011;Sonstige hergestellte Gase;.;.;-;-
2011;Geothermie;.;x;x;x
2011;Solarthermie;-;x;x;x
2011;Feste biogene Stoffe;1223722;6949873;-;-
2011;Flüssige biogene Stoffe;13961;72646;-;-
2011;Biogas;242894;1607380;-;-
2011;Klärgas;.;.;-;-
2011;Deponiegas;33894;221345;-;-
2011;Sonstige erneuerbare Energien;1769;.;-;-
2011;Klärschlamm;.;.;-;-
2011;Abfall (Hausmüll, Industrie);3317583;16233781;-;-
2011;Abfall (Industrie);.;.;-;-
2011;Abfall (Hausmüll, Siedlungsabfälle);.;.;-;-
2011;Kernenergie;x;x;x;x
2011;Wärme;14003;53447;-;-
2011;Sonstige Energieträger;410857;1847904;-;-
2012;Steinkohlen;497263;2299421;2200700;.
2012;Steinkohlenkoks;.;.;.;-
2012;Steinkohlenbriketts;-;-;-;-
2012;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2012;Sonstige Steinkohlen;-;-;-;-
2012;Rohbraunkohlen;-;-;-;-
2012;Hartbraunkohlen;-;-;-;-
2012;Braunkohlenbriketts;-;-;-;-
2012;Braunkohlenkoks;-;-;-;-
2012;Wirbelschichtkohle;-;-;-;-
2012;Staub- und Trockenkohle;186315;770740;776385;14638
2012;Sonstige Braunkohlen;-;-;-;-
2012;Dieselkraftstoff;-;-;-;-
2012;Heizöl, leicht;982839;4294208;5524790;3463610
2012;Heizöl, schwer;.;.;.;.
2012;Flüssiggas;.;.;.;.
2012;Raffineriegas;-;-;-;-
2012;Petrolkoks;-;-;-;-
2012;Sonstige Mineralölprodukte;.;.;.;-
2012;Erdgas, Erdölgas;13380902;58344571;58356596;.
2012;Grubengas;.;.;-;-
2012;Kokereigas;.;.;-;-
2012;Hochofengas;-;-;-;-
2012;Sonstige hergestellte Gase;.;.;.;-
2012;Geothermie;.;x;x;x
2012;Solarthermie;.;x;x;x
2012;Feste biogene Stoffe;2205213;12838505;12914025;-
2012;Flüssige biogene Stoffe;-;-;-;-
2012;Biogas;303706;1700654;1700654;-
2012;Klärgas;.;.;.;-
2012;Deponiegas;.;.;-;-
2012;Sonstige erneuerbare Energien;.;.;.;-
2012;Klärschlamm;-;-;-;-
2012;Abfall (Hausmüll, Industrie);-;-;-;-
2012;Abfall (Industrie);.;.;.;.
2012;Abfall (Hausmüll, Siedlungsabfälle);2669411;11072992;11852270;.
2012;Kernenergie;x;x;x;x
2012;Wärme;.;.;-;-
2012;Sonstige Energieträger;.;.;.;.
2013;Steinkohlen;276707;1203057;1199593;.
2013;Steinkohlenkoks;.;.;.;.
2013;Steinkohlenbriketts;-;-;-;-
2013;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2013;Sonstige Steinkohlen;-;-;-;-
2013;Rohbraunkohlen;-;-;-;-
2013;Hartbraunkohlen;-;-;-;-
2013;Braunkohlenbriketts;-;-;-;-
2013;Braunkohlenkoks;-;-;-;-
2013;Wirbelschichtkohle;-;-;-;-
2013;Staub- und Trockenkohle;229917;941310;940264;12422
2013;Sonstige Braunkohlen;-;-;-;-
2013;Dieselkraftstoff;-;-;-;-
2013;Heizöl, leicht;756564;3252598;3416916;3431252
2013;Heizöl, schwer;.;.;.;.
2013;Flüssiggas;4808;.;21766;.
2013;Raffineriegas;-;-;-;-
2013;Petrolkoks;-;-;-;-
2013;Sonstige Mineralölprodukte;.;.;.;-
2013;Erdgas, Erdölgas;13435443;58293996;58257588;-
2013;Grubengas;.;.;.;-
2013;Kokereigas;.;.;.;-
2013;Hochofengas;.;.;.;-
2013;Sonstige hergestellte Gase;.;.;.;-
2013;Geothermie;.;x;x;x
2013;Solarthermie;.;x;x;x
2013;Feste biogene Stoffe;1696002;8491466;8595770;318843
2013;Flüssige biogene Stoffe;.;.;.;-
2013;Biogas;447665;2919957;2928641;.
2013;Klärgas;.;.;.;-
2013;Deponiegas;21130;.;.;-
2013;Sonstige erneuerbare Energien;.;-;-;-
2013;Klärschlamm;.;.;.;-
2013;Abfall (Hausmüll, Industrie);-;-;-;-
2013;Abfall (Industrie);.;.;.;.
2013;Abfall (Hausmüll, Siedlungsabfälle);2999210;12739218;12640105;.
2013;Kernenergie;x;x;x;x
2013;Wärme;.;.;.;-
2013;Sonstige Energieträger;.;.;.;-
2014;Steinkohlen;173411;742610;716464;.
2014;Steinkohlenkoks;.;.;.;.
2014;Steinkohlenbriketts;-;-;-;-
2014;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2014;Sonstige Steinkohlen;-;-;-;-
2014;Rohbraunkohlen;-;-;-;-
2014;Hartbraunkohlen;-;-;-;-
2014;Braunkohlenbriketts;-;-;-;-
2014;Braunkohlenkoks;-;-;-;-
2014;Wirbelschichtkohle;-;-;-;-
2014;Staub- und Trockenkohle;282044;1186521;1195751;18728
2014;Sonstige Braunkohlen;-;-;-;-
2014;Dieselkraftstoff;-;-;-;-
2014;Heizöl, leicht;449567;2085351;2380430;3122670
2014;Heizöl, schwer;.;.;-;.
2014;Flüssiggas;.;.;.;.
2014;Raffineriegas;-;-;-;-
2014;Petrolkoks;-;-;-;-
2014;Sonstige Mineralölprodukte;.;.;.;-
2014;Erdgas, Erdölgas;12007774;52122842;52112742;-
2014;Grubengas;.;.;.;-
2014;Kokereigas;.;.;.;-
2014;Hochofengas;.;.;.;-
2014;Sonstige hergestellte Gase;.;.;.;-
2014;Geothermie;.;x;x;x
2014;Solarthermie;.;x;x;x
2014;Feste biogene Stoffe;1671943;10433713;10642014;510919
2014;Flüssige biogene Stoffe;.;.;.;-
2014;Biogas;551403;3746435;3746435;-
2014;Klärgas;.;.;.;-
2014;Deponiegas;22990;.;.;-
2014;Sonstige erneuerbare Energien;.;.;.;-
2014;Klärschlamm;-;-;-;-
2014;Abfall (Hausmüll, Industrie);-;-;-;-
2014;Abfall (Industrie);.;.;.;.
2014;Abfall (Hausmüll, Siedlungsabfälle);.;10201147;10203045;.
2014;Kernenergie;x;x;x;x
2014;Wärme;.;.;.;-
2014;Sonstige Energieträger;.;.;.;-
2015;Steinkohlen;149316;641756;632495;.
2015;Steinkohlenkoks;.;.;.;-
2015;Steinkohlenbriketts;-;-;-;-
2015;Kohlenwertstoffe aus Steinkohle;.;.;.;.
2015;Sonstige Steinkohlen;-;-;-;-
2015;Rohbraunkohlen;-;-;-;-
2015;Hartbraunkohlen;-;-;-;-
2015;Braunkohlenbriketts;-;-;-;-
2015;Braunkohlenkoks;-;-;-;-
2015;Wirbelschichtkohle;-;-;-;-
2015;Staub- und Trockenkohle;345369;1421546;1418980;19392
2015;Sonstige Braunkohlen;-;-;-;-
2015;Dieselkraftstoff;-;-;-;-
2015;Heizöl, leicht;696100;696100;3172295;3037746
2015;Heizöl, schwer;.;.;.;.
2015;Flüssiggas;.;.;.;.
