;;;Originalwerte
Hotels, Gasthöfe und Pensionen;1998;Oktober;130,4
Hotels, Gasthöfe und Pensionen;1998;November;102,5
Hotels, Gasthöfe und Pensionen;1998;Dezember;107,3
Hotels, Gasthöfe und Pensionen;1999;Januar;91,6
Hotels, Gasthöfe und Pensionen;1999;Februar;93,4
Hotels, Gasthöfe und Pensionen;1999;März;106,2
Hotels, Gasthöfe und Pensionen;1999;April;105,5
Hotels, Gasthöfe und Pensionen;1999;Mai;127,4
Hotels, Gasthöfe und Pensionen;1999;Juni;121,6
Hotels, Gasthöfe und Pensionen;1999;Juli;113,3
Hotels, Gasthöfe und Pensionen;1999;August;118,3
Hotels, Gasthöfe und Pensionen;1999;September;139,6
Hotels, Gasthöfe und Pensionen;1999;Oktober;132,9
Hotels, Gasthöfe und Pensionen;1999;November;109,7
Hotels, Gasthöfe und Pensionen;1999;Dezember;111,8
Hotels, Gasthöfe und Pensionen;2000;Januar;92,9
Hotels, Gasthöfe und Pensionen;2000;Februar;100,4
Hotels, Gasthöfe und Pensionen;2000;März;110
Hotels, Gasthöfe und Pensionen;2000;April;111
Hotels, Gasthöfe und Pensionen;2000;Mai;140,4
Hotels, Gasthöfe und Pensionen;2000;Juni;134,3
Hotels, Gasthöfe und Pensionen;2000;Juli;127,6
Hotels, Gasthöfe und Pensionen;2000;August;131,9
Hotels, Gasthöfe und Pensionen;2000;September;153,7
Hotels, Gasthöfe und Pensionen;2000;Oktober;141,1
Hotels, Gasthöfe und Pensionen;2000;November;112,7
Hotels, Gasthöfe und Pensionen;2000;Dezember;112,7
Hotels, Gasthöfe und Pensionen;2001;Januar;97,5
Hotels, Gasthöfe und Pensionen;2001;Februar;96,2
Hotels, Gasthöfe und Pensionen;2001;März;113,6
Hotels, Gasthöfe und Pensionen;2001;April;112,1
Hotels, Gasthöfe und Pensionen;2001;Mai;137,2
Hotels, Gasthöfe und Pensionen;2001;Juni;130,7
Hotels, Gasthöfe und Pensionen;2001;Juli;126,7
Hotels, Gasthöfe und Pensionen;2001;August;129,3
Hotels, Gasthöfe und Pensionen;2001;September;142,9
Hotels, Gasthöfe und Pensionen;2001;Oktober;135,8
