;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Insgesamt;2019;Juni;2216243;4,9;5,4;797622;50988;2453
Insgesamt;2019;Juli;2275461;5;5,5;799076;55498;2559
Insgesamt;2019;August;2319408;5,1;5,6;794919;59678;2608
Insgesamt;2019;September;2234030;4,9;5,4;787273;83529;3254
Insgesamt;2019;Oktober;2204090;4,8;5,3;764004;110513;3989
Insgesamt;2019;November;2179999;4,8;5,3;736322;123988;4770
Insgesamt;2019;Dezember;2227159;4,9;5,4;686551;...;...
Insgesamt;2020;Januar;2425523;5,3;5,9;668063;...;...
Insgesamt;2020;Februar;2395604;5,3;5,8;689594;...;...
Insgesamt;2020;März;2335367;5,1;5,7;691137;...;...
Insgesamt;2020;April;2643744;5,8;6,4;626417;...;...
Insgesamt;2020;Mai;2812986;6,1;6,7;583624;...;...
Insgesamt;2020;Juni;...;...;...;...;...;...
Insgesamt;2020;Juli;...;...;...;...;...;...
Insgesamt;2020;August;...;...;...;...;...;...
Insgesamt;2020;September;...;...;...;...;...;...
Insgesamt;2020;Oktober;...;...;...;...;...;...
Insgesamt;2020;November;...;...;...;...;...;...
Insgesamt;2020;Dezember;...;...;...;...;...;...
Früheres Bundesgebiet;2005;Januar;3309739;10,1;11,2;163182;118233;9557
Früheres Bundesgebiet;2005;Februar;3486369;10,6;11,8;178321;132975;11244
Früheres Bundesgebiet;2005;März;3477397;10,6;11,8;192575;137372;11974
Früheres Bundesgebiet;2005;April;3339260;10,2;11,3;204597;127626;10626
Früheres Bundesgebiet;2005;Mai;3241724;9,9;11;216040;113051;9212
Früheres Bundesgebiet;2005;Juni;3188333;9,7;10,8;227709;110133;8684
Früheres Bundesgebiet;2005;Juli;3239987;9,9;11;243363;87172;7493
Früheres Bundesgebiet;2005;August;3237872;9,8;11;247485;69362;6409
Früheres Bundesgebiet;2005;September;3140502;9,5;10,7;250256;77252;6608
Früheres Bundesgebiet;2005;Oktober;3098607;9,4;10,5;246393;85597;6604
Früheres Bundesgebiet;2005;November;3081363;9,4;10,5;233180;81311;6676
Früheres Bundesgebiet;2005;Dezember;3119909;9,5;10,6;220782;69629;6301
Früheres Bundesgebiet;2006;Januar;3362309;10,2;11,4;197678;79009;7237
Früheres Bundesgebiet;2006;Februar;3370396;10,2;11,5;214439;81499;7843
Früheres Bundesgebiet;2006;März;3318130;10,1;11,3;227903;83083;7725
